Category,Feature,GREEN (Cloud Connected),YELLOW (CAPS / LAN Only),RED (Standalone / No Network),Status Notes,Your Notes
,,,,,,
=== POS - LOGIN & AUTH ===,,,,,,
POS Auth,PIN Login,Yes,Yes,Yes,Cached employee PINs in local SQLite,
POS Auth,Manager PIN Approval,Yes,Yes,Yes,RED: validates against cached employee PINs and role privileges in local SQLite (v3.1.9),
POS Auth,Workstation Selection,Yes,Yes,Yes,Cached workstation config in SQLite,
POS Auth,RVC Selection,Yes,Yes,Yes,Cached RVC config in SQLite,
POS Auth,Employee Permissions / Roles,Yes,Yes,Yes,Cached role data in SQLite,
POS Auth,Salaried Bypass (skip clock-in gate),Yes,Auto-enabled,Auto-enabled,Labor rules cannot be enforced offline - users go straight to POS,
,,,,,,
=== POS - ORDERING ===,,,,,,
POS Ordering,Menu Item Selection,Yes,Yes,Yes,Full menu cached in SQLite,
POS Ordering,SLU / Category Navigation,Yes,Yes,Yes,SLU layout cached in SQLite,
POS Ordering,POS Layout / Button Grid,Yes,Yes,Yes,Layout cells cached in SQLite,
POS Ordering,Modifier Selection (mandatory/optional),Yes,Yes,Yes,Modifier map cached in SQLite,
POS Ordering,Conversational Ordering / Pizza Builder,Yes,Yes,Yes,Uses cached menu and modifier data,
POS Ordering,Order Types (Dine-In / Take-Out / Delivery / Pickup),Yes,Yes,Yes,Stored in check record locally,
POS Ordering,Table Assignment,Yes,Yes,Yes,Local check field,
POS Ordering,Guest Count,Yes,Yes,Yes,Local check field,
POS Ordering,Item Availability / 86'd Items,Yes,Yes,Partial,RED: returns empty list - no cloud push available,
POS Ordering,Send to Kitchen,Yes,Yes,Yes,GREEN/YELLOW: live to KDS. RED: queued for sync but no live KDS display,
,,,,,,
=== POS - CHECK MANAGEMENT ===,,,,,,
POS Checks,Create New Check,Yes,Yes,Yes,RED: uses offline_ prefix IDs synced later,
POS Checks,View Open Checks,Yes,Yes,Yes,From CAPS DB (YELLOW) or local SQLite (RED),
POS Checks,Item Void (unsent items),Yes,Yes,Yes,Local operation - no approval needed,
POS Checks,Item Void (sent items - requires mgr approval),Yes,Yes,Yes,RED: manager PIN validated locally against cached privileges (v3.1.9),
POS Checks,Check Void,Yes,Yes,Yes,RED: queued for cloud sync,
POS Checks,Split Check (move items to new check),Yes,Yes,Yes,RED: move/share items between checks locally with totals recalculated (v3.1.9),
POS Checks,Merge Checks,Yes,Yes,No,RED: returns cloud-required error,
POS Checks,Transfer Check (to another employee),Yes,Yes,No,RED: returns clear 'requires cloud connectivity' error (v3.1.9),
POS Checks,Reopen Closed Check,Yes,Yes,No,Requires full transaction history,
POS Checks,Edit Closed Check,Yes,No,No,Complex cloud-only operation,
POS Checks,Check Locking (multi-WS concurrency),Yes,Yes,Bypassed,YELLOW: CAPS lock service manages. RED: locks simulated (single WS),
POS Checks,Transaction / Check Lookup (history),Yes,Yes,No,Requires full transaction history from cloud,
,,,,,,
=== POS - PAYMENTS ===,,,,,,
POS Payments,Cash Payment,Yes,Yes,Yes,Fully offline capable,
POS Payments,Cash Change Calculation,Yes,Yes,Yes,Local calculation,
POS Payments,Credit Card - Stripe Elements (web entry),Yes,No,No,Requires internet to Stripe gateway,
POS Payments,Credit Card - EMV Semi-Integrated Terminal,Yes,Partial,No,YELLOW: works only if PED has direct gateway path on LAN,
POS Payments,External Payment Recording (approval code + last 4),Yes,Yes,Yes,RED: queued for cloud sync,
POS Payments,Payment Void,Yes,Yes,Yes,RED: queued for cloud sync,
POS Payments,Tip Capture (credit card post-auth),Yes,Yes,Yes,RED: queued for settlement sync,
POS Payments,Over-Tender Tip (cash change to tip),Yes,Yes,Yes,Local calculation,
POS Payments,Refunds,Yes,Yes,No,Requires original transaction lookup,
POS Payments,Gift Card Balance Lookup,Yes,No,No,Requires cloud gift card service (returns 503),
POS Payments,Gift Card Redemption,Yes,No,No,Requires cloud gift card service,
POS Payments,Multi-Tender (split payment types),Yes,Yes,Partial,RED: cash + external only - cards unavailable,
,,,,,,
=== POS - DISCOUNTS & SERVICE CHARGES ===,,,,,,
POS Discounts,Item Discount (% or $),Yes,Yes,Yes,Discount definitions cached in SQLite,
POS Discounts,Check-Level Discount,Yes,Yes,Yes,Applied locally with cached rates - queued for sync,
POS Discounts,Manager-Approved Discount,Yes,Yes,Yes,RED: manager PIN validated locally against cached privileges (v3.1.9),
POS Discounts,Price Override,Yes,Yes,Yes,RED: manager PIN validated locally; price override applied to local check (v3.1.9),
POS Discounts,Auto Service Charge (auto-gratuity),Yes,Yes,Yes,RED: service charge config cached in SQLite entity map (v3.1.9),
POS Discounts,Service Charge Void,Yes,Yes,Yes,RED: queued for sync,
,,,,,,
=== POS - PRINTING ===,,,,,,
POS Printing,Receipt Print (guest check),Yes,Yes,Yes,GREEN: cloud print. YELLOW: CAPS routes to LAN. RED: queued/local agent,
POS Printing,Kitchen Print (order ticket),Yes,Yes,Partial,RED: print job queued but no live routing to kitchen printer,
POS Printing,Cash Drawer Kick,Yes,Yes,Yes,RED: returns success - actual hardware depends on local agent,
POS Printing,Void Receipt Print,Yes,Yes,Partial,Depends on printer availability,
,,,,,,
=== KDS (Kitchen Display System) ===,,,,,,
KDS,View Active Tickets,Yes,Yes,No,No KDS handler in offline interceptor,
KDS,Bump Ticket,Yes,Yes,No,No KDS handler in offline interceptor,
KDS,Recall Bumped Ticket,Yes,Yes,No,No KDS handler in offline interceptor,
KDS,Bump All,Yes,Yes,No,No KDS handler in offline interceptor,
KDS,Station Filtering,Yes,Yes,No,No KDS handler in offline interceptor,
KDS,Priority Bump/Sort,Yes,Yes,No,No KDS handler in offline interceptor,
KDS,Color-Coded Time Alerts,Yes,Yes,No,No KDS handler in offline interceptor,
KDS,New Order Sound/Visual Alerts,Yes,Yes,No,No KDS handler in offline interceptor,
KDS,KDS System Diagnostics,Yes,Yes,No,,
,,,,,,
=== TIME & ATTENDANCE / LABOR ===,,,,,,
Labor,Clock In,Yes,DISABLED,DISABLED,Policy: disabled offline - users bypass clock-in gate,
Labor,Clock Out,Yes,DISABLED,DISABLED,Policy: disabled offline,
Labor,Break Start / End,Yes,DISABLED,DISABLED,Policy: disabled offline,
Labor,Break Attestation Dialog,Yes,DISABLED,DISABLED,Policy: disabled offline,
Labor,Job Code Selection (at clock-in),Yes,DISABLED,DISABLED,Policy: disabled offline,
Labor,Timecards View / Edit,Yes,No,No,Requires cloud database,
Labor,Timecard Report,Yes,No,No,Requires cloud database,
Labor,Scheduling (view/create/publish shifts),Yes,No,No,Requires cloud database,
Labor,Labor Analytics Dashboard,Yes,No,No,Requires cloud database,
Labor,Break Monitoring Dashboard,Yes,No,No,Requires cloud database,
Labor,Break Violation Tracking,Yes,No,No,Requires cloud database,
Labor,Overtime Rules,Yes,No,No,Requires cloud database,
Labor,Minor Labor Restrictions,Yes,No,No,Requires cloud database,
Labor,Tip Pooling Configuration,Yes,No,No,Requires cloud database,
Labor,Tip Rules Configuration,Yes,No,No,Requires cloud database,
Labor,Line Up (daily shift notes),Yes,No,No,Requires cloud database,
,,,,,,
=== REPORTS & ANALYTICS ===,,,,,,
Reports,Z-Report (fiscal close-out),Yes,No,No,Requires full cloud data,
Reports,Daily Sales Summary,Yes,No,Partial,RED: basic offline sales report from local SQLite only,
Reports,Product Mix (P-Mix),Yes,No,No,Requires cloud data,
Reports,Tender Mix,Yes,No,No,Requires cloud data,
Reports,Hourly Sales Analysis,Yes,No,No,Requires cloud data,
Reports,Sales Comparison (period vs period),Yes,No,No,Requires cloud data,
Reports,Cashier Report,Yes,No,No,Requires cloud data,
Reports,Open Check Report,Yes,No,Partial,RED: can see local open checks only,
Reports,Closed Check Report,Yes,No,No,Requires cloud data,
Reports,KDS Performance KPIs,Yes,No,No,Requires cloud data,
Reports,Business Day Activity Timeline,Yes,No,No,Requires cloud data,
Reports,Tender Detail (transaction-level),Yes,No,No,Requires cloud data,
Reports,Offline Database Stats,N/A,N/A,Yes,Shows offline SQLite statistics,
Reports,Stress Test Report,Yes,No,No,Requires cloud data,
,,,,,,
=== CASH MANAGEMENT & FISCAL ===,,,,,,
Operations,Cash Management (drops / paid-ins / paid-outs),Yes,No,No,Requires cloud database,
Operations,Fiscal Close (advance business day),Yes,No,No,Critical cloud-only operation,
Operations,Daily Operations Dashboard,Yes,No,No,Requires cloud database,
,,,,,,
=== LOYALTY & GIFT CARDS ===,,,,,,
Loyalty,Member Lookup (by phone),Yes,No,No,Requires cloud loyalty service,
Loyalty,Earn Points,Yes,No,No,Returns cloud-required error,
Loyalty,Redeem Points for Discount,Yes,No,No,Requires cloud loyalty service,
Gift Cards,Balance Check,Yes,No,No,Returns 503 - requires cloud,
Gift Cards,Activate / Sell Gift Card,Yes,No,No,Requires cloud gift card service,
Gift Cards,Redeem Gift Card as Payment,Yes,No,No,Requires cloud gift card service,
,,,,,,
=== ONLINE ORDERING & DELIVERY ===,,,,,,
Online,Online Ordering Portal (native),Yes,No,No,Requires internet,
Online,Uber Eats Integration,Yes,No,No,Requires internet API,
Online,DoorDash Integration,Yes,No,No,Requires internet API,
Online,Grubhub Integration,Yes,No,No,Requires internet API,
Online,3rd Party Order Injection (webhook -> POS),Yes,No,No,Requires cloud webhook receiver,
,,,,,,
=== EMC - ENTERPRISE MANAGEMENT CONSOLE ===,,,,,,
EMC Config,Enterprise Settings,Yes,No,No,Cloud-only admin function,
EMC Config,Property Settings,Yes,No,No,Cloud-only admin function,
EMC Config,Revenue Center Settings,Yes,No,No,Cloud-only admin function,
EMC Config,Menu Item CRUD,Yes,No,No,Cloud-only admin function,
EMC Config,SLU / Category CRUD,Yes,No,No,Cloud-only admin function,
EMC Config,Modifier / Modifier Group CRUD,Yes,No,No,Cloud-only admin function,
EMC Config,Major Group CRUD,Yes,No,No,Cloud-only admin function,
EMC Config,Family Group CRUD,Yes,No,No,Cloud-only admin function,
EMC Config,Employee CRUD,Yes,No,No,Cloud-only admin function,
EMC Config,Job CRUD,Yes,No,No,Cloud-only admin function,
EMC Config,Role & Privilege CRUD,Yes,No,No,Cloud-only admin function,
EMC Config,Workstation Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,Terminal Device Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,Printer Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,Print Agent Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,Print Class Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,KDS Device Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,Order Device Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,POS Layout Designer,Yes,No,No,Cloud-only admin function,
EMC Config,Tax Group Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,Discount Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,Tender Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,Service Charge Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,Payment Processor Setup,Yes,No,No,Cloud-only admin function,
EMC Config,Payment Gateway Config,Yes,No,No,Cloud-only admin function,
EMC Config,Descriptors (receipt text),Yes,No,No,Cloud-only admin function,
EMC Config,Option Bits / Feature Flags,Yes,No,No,Cloud-only admin function,
EMC Config,Item Availability Management,Yes,No,No,Cloud-only admin function,
EMC Config,Break Rules Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,Overtime Rules Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,Minor Labor Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,Online Ordering Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,Inventory Management,Yes,No,No,Cloud-only admin function,
EMC Config,Forecasting Setup,Yes,No,No,Cloud-only admin function,
EMC Config,Accounting Export,Yes,No,No,Cloud-only admin function,
EMC Config,Registered Device Management,Yes,No,No,Cloud-only admin function,
EMC Config,CAL Package Management,Yes,No,No,Cloud-only admin function,
EMC Config,Service Host Management,Yes,No,No,Cloud-only admin function,
EMC Config,Onboarding Checklist,Yes,No,No,Cloud-only admin function,
EMC Config,Manager Alert Configuration,Yes,No,No,Cloud-only admin function,
EMC Config,Connectivity Test Utility,Yes,No,No,Cloud-only admin function,
,,,,,,
=== SYSTEM & DEVICE MANAGEMENT ===,,,,,,
System,Registered Device Heartbeat,Yes,Yes,Yes,RED: returns offline success but no real tracking,
System,Workstation Heartbeat,Yes,Yes,No,Not whitelisted in offline interceptor,
System,WebSocket (real-time KDS/config updates),Yes,Yes,No,YELLOW: CAPS WebSocket. RED: no WS server,
System,Config Sync (cloud -> local cache),Yes,Yes,No,Requires connectivity to source,
System,Transaction Sync (local -> cloud replay),N/A,Queued,Queued,Auto-replayed when GREEN mode restored,
System,Auto-Update (CAL / Electron),Yes,No,No,Requires internet,
System,Embedded Print Agent,Yes,Yes,Yes,Local Windows service - works independently,
System,Connection Mode Banner (UI indicator),Yes,Yes (yellow),Yes (red),Visual indicator shows current mode,
System,Offline Data Sync on Reconnect,N/A,Auto,Auto,Automatic when GREEN mode restored,
,,,,,,
=== SUMMARY ===,,,,,,
SUMMARY,Total Features Listed,120,,,Count of all feature rows above,
SUMMARY,GREEN - Available,120 (100%),,,Everything works with full cloud connectivity,
SUMMARY,YELLOW - Available,,~50 (42%),,Core POS + KDS + CAPS-managed operations,
SUMMARY,YELLOW - Disabled (by policy),,5 (4%),,Clock-in/out and labor features disabled by design,
SUMMARY,YELLOW - Unavailable,,~65 (54%),,EMC admin + Cloud reports + Integrations + Gift/Loyalty,
SUMMARY,RED - Available,,,~35 (29%),Basic POS transactions + cash payments,
SUMMARY,RED - Disabled (by policy),,,5 (4%),Clock-in/out and labor features disabled by design,
SUMMARY,RED - Unavailable,,,~80 (67%),EMC + Reports + KDS + Cards + Split/Merge + Integrations,
